millis,mA
38592,2.50
38595,1.50
38597,1.80
38600,2.80
38603,2.00
38605,1.30
38608,2.20
38610,2.00
38614,1.80
38617,1.60
38619,2.10
38622,1.70
38625,1.60
38627,1.80
38630,2.10
38632,1.80
38635,1.30
38638,1.90
38640,2.20
38643,1.80
38646,1.80
38648,1.90
38651,1.80
38653,1.40
38657,2.20
38660,2.10
38662,1.90
38665,1.80
38668,2.30
38670,2.10
38673,1.80
38675,1.80
38678,1.90
38681,2.00
38683,1.80
38686,1.90
38689,1.60
38691,1.50
38694,1.80
38696,2.10
38700,1.90
38703,1.70
38705,2.30
38708,1.80
38711,1.80
38713,1.30
38716,2.30
38718,2.10
38721,1.80
38724,1.60
38726,2.20
38729,2.00
38732,1.80
38734,2.00
38737,1.90
38739,1.80
38743,1.90
38746,-0.40
38748,1.70
38751,1.70
38754,1.90
38756,2.20
38759,1.90
38761,1.50
38764,1.90
38767,1.80
38769,1.80
38772,1.60
38775,1.90
38777,2.00
38780,1.80
38782,1.80
38786,1.80
38789,1.70
38791,1.50
38794,2.30
38797,1.80
38799,1.50
38802,0.80
38804,2.20
38807,1.90
38810,1.10
38812,2.00
38815,1.90
38818,1.70
38820,1.70
38823,2.00
38825,1.60
38829,1.40
38832,2.30
38834,2.10
38837,1.60
38840,1.90
38842,2.50
38845,1.70
38847,1.50
38850,1.30
38853,2.10
38855,1.50
38858,0.90
38861,2.30
38863,1.70
38866,1.60
38868,2.00
38872,1.60
38875,1.00
38877,2.00
38880,1.90
38883,1.80
38885,1.70
38888,2.10
38890,2.30
38893,1.50
38896,1.70
38898,1.90
38901,2.00
38904,1.80
38906,2.30
38909,1.90
38912,1.70
38915,1.90
38918,2.00
38920,1.70
38923,1.20
38926,1.90
38928,1.90
38931,1.70
38933,1.70
38936,1.90
38939,4.30
38941,1.50
38944,2.00
38947,2.10
38949,1.50
38952,1.50
38955,1.90
38958,2.00
38961,1.70
38963,0.00
38966,7.80
38968,7.00
38971,5.80
38974,6.80
38976,6.90
38979,6.50
38982,6.80
38984,7.40
38987,22.70
38990,22.70
38992,23.40
38995,24.70
38999,23.50
39001,23.10
39004,6.60
39007,23.90
39009,23.60
39012,19.90
39015,30.50
39017,24.10
39020,19.80
39023,22.10
39025,31.30
39028,3.40
39031,4.10
39033,4.20
39036,4.60
39040,3.90
39042,3.50
39045,4.00
39048,3.30
39050,3.00
39053,4.30
39055,3.70
39058,3.40
39061,3.50
39063,3.80
39066,3.50
39069,2.90
39071,3.30
39074,3.60
39076,2.90
39079,3.50
39083,3.70
39085,3.30
39088,2.70
39091,3.60
39093,4.00
39096,3.30
39098,3.00
39101,4.40
39104,3.80
39106,3.10
39109,3.40
39112,3.80
39114,3.30
39117,3.10
39119,3.90
39122,3.50
39126,3.60
39128,3.10
39131,4.00
39134,1.20
39136,3.00
39139,3.50
39141,4.10
39144,3.40
39147,3.30
39149,4.00
39152,3.80
39155,2.70
39157,5.60
39160,3.70
39162,3.60
39165,4.00
39169,3.90
39171,3.60
39174,3.00
39177,3.60
39179,3.70
39182,3.50
39184,3.00
39187,3.40
39190,2.80
39192,3.70
39195,3.90
39198,3.60
39200,3.60
39203,3.30
39205,5.80
39208,3.80
39212,3.30
39214,5.50
39217,3.80
39220,3.40
39222,3.50
39225,3.60
39227,3.60
39230,3.80
39233,3.10
39235,3.80
39238,2.80
39241,3.00
39243,3.60
39246,3.40
39248,3.50
39251,3.50
39255,3.30
39257,3.70
39260,2.70
39263,2.70
39265,3.60
39268,3.60
39270,3.50
39273,3.80
39276,3.40
39278,3.70
39281,3.10
39284,3.40
39286,3.30
39289,3.30
39291,3.60
39294,3.50
39298,3.60
39300,3.10
39303,3.60
39306,3.70
39308,2.70
39311,3.00
39313,3.40
39316,3.70
39319,2.70
39321,3.80
39324,3.80
39327,5.70
39329,3.40
39332,4.00
39334,3.20
39337,3.10
39341,3.70
39343,2.90
39346,1.60
39349,1.90
39351,2.10
39354,1.70
39356,1.60
39359,2.00
39362,2.20
39364,1.30
39367,1.50
39370,1.80
39372,1.90
39375,0.90
39377,1.70
39380,2.50
39384,2.40
39386,1.90
39389,1.80
39392,1.60
39394,1.50
39397,2.10
39399,1.70
39402,1.70
39405,1.70
39407,1.70
39410,1.70
39413,1.60
39415,1.90
39418,2.20
39420,1.30
39424,1.90
39427,1.90
